,Review,Rating,hotel_name
62,Thanks for happy stay. Nice ambiance,5,Whispering Palms Beach Resort
63,"Good location near to beach, walking distance. Food is also nice with good service.
Room is good, balcony view is also good. Less space with extra bed.",4,Whispering Palms Beach Resort
64,Good hotel beach is 2 min away staff is good,4,Whispering Palms Beach Resort
65,"more than exprcted service and room..staff approach is really appreciable very gud staffs and service..
also very excellent rooom..no more words..overall awsome experiance..thanku..😊",5,Whispering Palms Beach Resort
66,Awesome experience. Hotel was 3 mins walk from the beach. Swimming pool experience is must if you are having the kids. Food is expensive. Rooms are OK. But its Goa ... So many things to Explore. Dj night and karoeke night is also good in hotel.,5,Whispering Palms Beach Resort
67,Experience was well the hotel is very good and field staff is will be able and food quality is very good also the environment is said to be wise is very clean and swimming pool and breakfast and other food stuff quality,1,Whispering Palms Beach Resort
68,Total wastage of money. Charged as high as 5 star. Horrible,1,Whispering Palms Beach Resort
69,Service is very good room in very good condition. Also swimming pool is very good condition. Restaurants food is very tastey. & Service staff is very copretive. Location is good. Its value for money. Gret experience,5,Whispering Palms Beach Resort
70,The hotel is very good and the amenities provided are wonderful. The visitor love this place as they can enjoy fully and have a wonderful holiday experience. The rooms are wonderfully designed and the food and drinks are excellent. We spent wonderful time in the hotel.,5,Whispering Palms Beach Resort
71,"Pleasent stay, neat to beach but very crowded.
Good location, nice staff but food is costly.",4,Whispering Palms Beach Resort
72,You will get better hotels at this Price. Food is pathetic. Rooms are not maintained properly.,3,Whispering Palms Beach Resort
73,Very high price hotel but there is no value for money. Very old property. There is not proper administration. Reception is so pathetic. They didn't even care the guests. Horrible treatment. Finally they didn't ask neither feedback nor concerned.,2,Whispering Palms Beach Resort
74,"- the balcony had red ants and we had to stop our toddler to enjoy in the balcony
- they were charging 1500 for extra mattress
- had requested for an early check in, but still had to wait for an hour after we arrived
- our sofa had bugs, was biting all night",3,Whispering Palms Beach Resort
75,Room showed in pics n actually the room was different,3,Whispering Palms Beach Resort
76,"All good. It's our first trip in Goa and Whispering palm make this very precious to all our movements. Hotel atmosphere, staff, food and music is very good. Also Thanks to make my trip for give us reasonable rate.",4,Whispering Palms Beach Resort
77,Lovely hotel with great service and food.,5,Whispering Palms Beach Resort
78,Rooms are not good as shown in pics,3,Whispering Palms Beach Resort
79,Location: 100m from beach and beach is clean. Food: Had only breakfast there and that was good with decent varieties. Service: It was prompt.,4,Whispering Palms Beach Resort
80,"I traveled with family and kids, wonderful experience",5,Whispering Palms Beach Resort
81,Hotel is located in heart of north Goa its near to best cleaned beach of Goa sinquerin beach & also walkable to restaurants & pubs hotel staff is very supportive & food they give in buffet has so much options in vegetarian dishes,5,Whispering Palms Beach Resort
82,"Location of the hotel good. Very near to the beach. Rooms were very clean. Events organised by the hotel were very good. Spa needs a lot of improvement lot of disturbance, steam room was not working properly etc. except Spa the whole experience was good.",3,Whispering Palms Beach Resort
83,"The proximity of the hotel is really amazing it's just right next to the beach (walking distance 1 min). Their room service, food, cleanings everything is good except that due to their check in time they fail to support early check in. Especially if you are travelling with infant you have to be prepared with other plans. Their baby/ toddler food is great and my son just loved their khichdi.",4,Whispering Palms Beach Resort
84,"We stayed here for 5 nights in end May to celebrate 25 years together. Location is excellent - 3 minutes from Sinquerim beach, many nearby eating places. We got a nice cosy room, very clean, good air-conditioner with working remote, average Wi-Fi quality. The place has very frequent power breakdowns. They have a genset which takes a while to switch on. One night there was an outage of 45 mts. We had some mosquitoes and they provided us a Good Knight device to resolve the issue. The bathroom is small / cramped but well appointed. Shower cubicle is open and wets the floor inside bathroom-design problem. The mattress is too soft and caused us back pain which housekeeping rectified by provided some extra foam mattresses. Note to management : A deluxe resort should have deluxe mattresses - firm & comfy. Service : friendly and excellent. Well trained staff. Pool - Lovely. Restaurant - excellent, helm ed by Chef Bapi Roy. Good quality tasty food and well planned menus, we had the buffet lunch once and the buffet dinner once. A sumptuous buffet breakfast is provided everyday. Quality & Strength of Tea can improve - NTM. Restaurant has both indoor (with AC) as well as outdoor sections. Some karaoke entertainment on some evenings along with a pool table. Food Prices - expensive - many people get food from outside because of this. NTM : Please understand the price elasticity of demand, if prices are reasonable, your sales will increase. Check-in/out: It took us 2 hours to check in as MMT had not sent the booking to the hotel. During checkout the only payment machine was not working, so we had to pay cash. So these issues left a bad taste in the mouth in an otherwise good experience and a very good place to stay. Can go from good to great with a little effort.",4,Whispering Palms Beach Resort
85,"Very bad experience for us in this resort, reception staff very rude, we book suite room in this resort, my cousin brother stayed another hotel, when he come to meet me, hotel staff asking me out side person not allowed in this resort, i ask i will pay ammount with id proof for stay period, i say how much you want, but they ask not allowed, very bad staff, room not clean everyday, when you ask then they came, i was book suite room, small room, very bad experience, same day same breakfast, no many options of food, buffet lunch dinner no more items same day same item, very very very very very very very bad resort with staff, food etc",2,Whispering Palms Beach Resort
86,Awesome experience with the family,5,Whispering Palms Beach Resort
87,"When I entered the resort, my morale was low. I was travelling with my spouse and 9 year old girl. First impression was that my daughter did not liked the resort and she was not excited. But as the day progressed the opinion changed completely. We stayed for 3 days in Whispering Palm and in these 3 days they made us a complete fan of their resort. Be it service, staff, facilities, courtesy: This resort scores full points in every aspect. We have stayed in many expensive hotels in Goa, but this resort beats them all. Location is just next to beach. Through out the day they try to engage guests through various recreational activities. I booked 3 days whispering and next 3 days another 5* hotel. My daughter liked this place so much that she just not wanted to shift to the other 5* and wanted to cancel that booking and rebook in this resort again. In short thanks Whispering Palm for making the stay memorable. We are your permanent guests in Goa for years to come.",5,Whispering Palms Beach Resort
88,"The property enjoys a central location, yet the garden facing rooms are well designed to provide privacy. The breakfast is delicious. However, the parking facility is a chaos where you sometimes need to spend 10 minutes to take your car out. Wifi coverage is also poor. Barring these two issues, everything else was good.",4,Whispering Palms Beach Resort
89,Everything was too good... Enjoyable stay... Good food.. Good culture.. Easy taxi service.. Cooperative staff... Overall 100%... I will be happy to come here again and suggest my friends also.. Thanks hotel staff for making our stay very comfortable.. Music.. Dance.. Masti..,5,Whispering Palms Beach Resort
90,"This is a nice little hotel with comfortable rooms and facilities. The pool does not offer much privacy as it is very close to the rooms. The common areas are tightly squeezed in between the rooms. The hotel staff was very helpful, and focused on hospitality. The gym was dingy and small with water leakage issues - best avoided. For those who are looking for a mid range comfort, this hotel is a good choice.",4,Whispering Palms Beach Resort
91,A good Hotel. Staff is cooperative. Food is nice.,4,Whispering Palms Beach Resort
92,"Very near by to Candolim Beach only walking distance. Having market and food options, very helpful staff, good buffet for vegans",5,Whispering Palms Beach Resort
93,I stayed with family for a three day trip and it was a very pleasant. The car rentals just next to premises makes the travel effortless. The staff are quite cooperative and the cleanliness in the resort premises are also well maintained. Overall it was an excellent stay.,5,Whispering Palms Beach Resort
94,Love to visit again with family based on charges,5,Whispering Palms Beach Resort
95,Facilities are just OK. More items can be added to breakfast and dinner. Location is good. Rooms are clean. Food is tasty. Near to Candolim beach. Swimming pool and Kids playing area is there.,3,Whispering Palms Beach Resort
96,"It is the staff who truly reflect the warmth of a service industry like hotel. I give full points to the staff who served with smile and humility. Food was excellent. I need to change the room because it was quite stuffy due to moisture on the walls. Transport service was nice and on time. The hotel person waa waiting for us at the airport with our name displayed. The hotel provided live as well as DJ entertainment. We were quite at ease. One suggestion which I would like to make: the prices of laundary were very steep, Rs.150 for the one trouser etc. Because of sea and sand, you tend to wet so many clothes and hotel policy does not allow to hang clothes outside!",4,Whispering Palms Beach Resort
97," from the beach.SOURAV PAYET .  . Sep 24, 2018It was me, my wife and kid, my and her parents, so a total of 7 people from 3 generations. Everyone enjoyed their stay at this resort, rooms are nice and clean, service is quick, the staff was good, the food preparations are nice, pool is clean and big, buffet breakfast has decent variety of items, the resort is 5 minute from the Candolim beach, a quick walk takes you to the beach immediately, overall i had a great time with family here.",5,Whispering Palms Beach Resort
98,"We had very lovely stay at this property, staff is very welcoming n friendly to help you make your staff comfortable and nice, property is very close to the beach, we opted for half board plan so both meals breakfast and dinner were worth a buy.
Great staff to help you make your stay comfortable.",5,Whispering Palms Beach Resort
99,"The room and the facilities were good enough, service was also not that proper. The food quality was not good. The breakfast they provide with the room was not at all good. Not value for the money they charge",3,Whispering Palms Beach Resort
100,"Our stay was excellent and really enjoyed it. Food was very good, staff were attentive and cleaning staff excellent. We were in a group and booked 4 rooms and our request for early check-in was taken care off. I would recommend this hotel as it's ideal to get to beach, good food and staff very friendly and attentive and not forgetting 'Tom' who plays the violin at the reception area, very friendly and nice guy. Thanks for a lovely stay. Had fab time with my friends,",4,Whispering Palms Beach Resort
101,Very good and nice hotel. Good to stay. It is near to Mandolin beach.,4,Whispering Palms Beach Resort
102,It was nice location we can say its on the beach (just 5 min walk for beach) hotel was good but service need food improvement... Food was good... They are organised evening programs which was good pool was cleaned... Kids activities also there like movie etc.,3,Whispering Palms Beach Resort
103,Excellent place & near to beach. Accommodation was very nice & hotel staff was friendly. Enjoyed 2 days stay. Hotel is very near to shopping areas & other beaches. Water sports activities were available within 3-4 km distance. Overall stay was very nice.,4,Whispering Palms Beach Resort
104,"The staff, facilities and resort as a whole makes your stay worth every penny spent. The place is kid friendly and the staff takes special care to make the kids feel comfortable. Great food, great location and a place to unwind yourself. Highly recommended for family vacation. Loved the resort.",5,Whispering Palms Beach Resort
105,Food was ok. Safety is an issue. I found a insect in my room!,3,Whispering Palms Beach Resort
106,"We were quite disappointed as the room given to us was not having the view which we were expecting. We had to ask for another room. Room was fine but was not in very good condition especially the bathroom. Also, some renovation work was going on which was quite disturbing. Overall, I didn't feel the value for the money we paid for this hotel. Almost everything was paid except swimming pool and Jacuzzi once.",2,Whispering Palms Beach Resort
107,The hotel is very well situated close to many beaches in North Goa. This is not a 4 star but a good enough stay that would make your experience pleasant. They had a very good spread of food. If you are a vegetarian you would enjoy the food as there are a lot of options. The pick up from airport was on time. They also allowed me extend the check out time by an hour.,4,Whispering Palms Beach Resort
108,"Nice location, good property, good hospitality, good food, clean and tidy. If in Goa must spend a night here walking distance to beach, very near to local market and Fort aguada beach is visible from hotel room..",4,Whispering Palms Beach Resort
109,"Good place for families to stay, ambience is great. Staff and service were great. Only the food menu needs to be expanded",4,Whispering Palms Beach Resort
110,Everything was good. Courteous staff and nice location with all the happening things nearby. Value for money and food was good. Nice option for budget travellers. Definitely not for one who are looking for luxury.,4,Whispering Palms Beach Resort
111,"ropertyArshi Ahmed .  . Jun 30, 2018It is definitely not a 4 star property. The location is very close to the beach. Food was good. We were upgraded to suite rooms which were good. It is a small property and is not really a resort. If you are looking for places to visit nearby then choose this property but if you are looking for a peaceful holiday then this is not a place for you. We were very disappointed by the taxi services outside the resort as they were charging exorbitant money for very short distances.",3,Whispering Palms Beach Resort
112,This is a good property at a good location near to Beach with a good swimming pool and nice food but the room that they gave us was simply pathetic a small cornered room I mean that should not be on their list. Room no 106. Although staff was polite and attentive but even after multiple attempts nobody came to clean our room. So another disappointment althogh they changed our room which made me give them 3 stars. So I would say a hotel a good location with great food but quite average rooms.,4,Whispering Palms Beach Resort
113,"Pros: 1. The location and proximity to Beach, Beach is not that crowded compared to it's vicinity like Calangute and Baga. Flipside, no shacks. 2. Very good swimming pool. 3. Pool side Bar, restaurant and Buffet with DJ nights, Karaoke nights etc. 4. Good chefs, very helpful if you have a young kid(under 3) who require special food. 5. Balcony in rooms. Bigger rooms not allocated(or only allocated to foreigners/folks booking via their site? Even though booked Studio suites which is the biggest booking available). Cons: 1. Reception staff not that helpful in case of problem situations, Had a power cut for 4 hrs on a extremely hot morning and they wouldn't even help with a timeline on when the problem will be fixed nor any explanation on the problem or why there is no generator working. Limited Bar menu and Lunch/Dinner buffet. 3. Very Small suite rooms ( called suite though)",4,Whispering Palms Beach Resort
114,Near by Beach gift of nature in your Resort very well Worth to stay with you,5,Whispering Palms Beach Resort
115,"The breakfast gets an average as it was just not good. I hoped a lot more from the breakfast in terms of quality and variety but was disappointed to see the buffet. Also, was hoping for a pool facing balcony room as shown in pictures. Unfortunately was allotted something else.",3,Whispering Palms Beach Resort
116,The hotel staff is very helpful and friendly. I really like the food.,4,Whispering Palms Beach Resort
117,Excellent stay. Value for money. Quality food. Excellent service.,5,Whispering Palms Beach Resort
118,Food is so nice Even property is as clean as beautiful Good for family stay in Goa,1,Whispering Palms Beach Resort
119,Good stay overall enjoyed the evening event and food was too good !! Nice place to relax and enjoy the weekend peacefully !! Nearby to all shopping places and very close by to beach it's just five minutes walk from the resort !!,5,Whispering Palms Beach Resort
120,"Stayed with my wife for 3 nights, the property is very close to beach. The staff and food was great. The prices are very reasonable, we had booked balcony room which was a bit small but well maintained. Swimming pool was also cleaned on daily basis.",5,Whispering Palms Beach Resort
121,"One of the best hotels in Candolim, just 5mins away from the beach ...
Very well maintained hotel with nice rooms & facilities
Excellent service from hotel staff, very nice buffet for breakfast ..
Slightly higher rates but overall a very nice place to be in Goa",4,Whispering Palms Beach Resort
122,"as Paul . Family Traveller . Oct 29, 2017Can’t blame the hotel rather will blame MMT for the booking as was not at all what I thought. It’s very costly and you have many better options in that price. The pictures also are something which is made up I feel.",3,Whispering Palms Beach Resort
123,"This was my family’s first trip after having a little one after the whole lock down last year. The stay at whispering palms was decent. Saying that, there’s room for improvement. The pool was clean and the life guard insisted on shower before entering, which was good. We did not eat much at the hotel so cannot review about the taste. The staff was friendly, but can’t say much about service. Wanted to get my room cleaned after a day and they finally did after two days. Shout-out to the welcome violin musician who was the best.",4,Whispering Palms Beach Resort
124,"hijit Banerjee . Couple Traveller . Feb 01, 2021Decent facilities and good location at reasonable price. But definitely not 4-star. Wi-fi not working. No shower door in bathroom, so floor gets completely wet. Staff very good.",3,Whispering Palms Beach Resort
125,This property is not on the category of 4 star old property with old Furnture. Nothing great except the staff. Specially Jassy small swimming pool. Rooms are ok size but with old furniture and bathroom are smaller size. If you looking for beach then it take 10 minutes to reach but you can swim theirs too.,3,Whispering Palms Beach Resort
126,"Happened to be visiting Goa during a summery, off season month. It was impressed with the hotel location - minutes from Candolim beach, courteous and cooperative staff. Well designed compact rooms, nice poolside arrangement. I would recommend to all for a 3-day trip!",4,Whispering Palms Beach Resort
127,"It was a pleasurable experience staying in this property. The hospitality of the staff is commendable. In terms of food, they have a very good menu. They made our stay memorable and romantic. A must recommended resort!!",4,Whispering Palms Beach Resort
128,Very good services,5,Whispering Palms Beach Resort
129,The hotel justifies its price and brand due to it safety standards and precautions that are being followed. Starting from entry till the exit i couldn't find anything to complain regarding the safety procedures.,5,Whispering Palms Beach Resort
130,Hotel offers neat and clean rooms with friendly staff. Moreover the food and variety on offer is good. There are plenty of restaurants in the vicinity and car/ bike rentals available just outside the hotel. The beach is 5 minutes walk. Thus making a pleasurable stay overall. The only reservation one can make is the hotel restaurant pricing which seems high. However one can get enough options nearby.,5,Whispering Palms Beach Resort
131,Although it's a small resort but food was really good.,5,Whispering Palms Beach Resort
132,"I was with my family, location was adjacent to Beach but not in the Beach. It should have been made clear in the website whereas they bluffed that hotel is Beach facing and charged exorbitant rates not Worth for",2,Whispering Palms Beach Resort
133,The room we were shown in make my trip didn't match with the actual room given. Tv wasn't working. View wasn't good from the balcony. It didn't feel like a 4 star property at all. Breakfast was same for all 3 days. Nothing was changed apart from 1-2 dishes in the whole buffet.,3,Whispering Palms Beach Resort
